[1]	valid_0's binary_logloss: 0.614881	valid_0's auc: 0.824234
[2]	valid_0's binary_logloss: 0.592121	valid_0's auc: 0.827915
[3]	valid_0's binary_logloss: 0.573327	valid_0's auc: 0.829723
[4]	valid_0's binary_logloss: 0.557676	valid_0's auc: 0.83129
[5]	valid_0's binary_logloss: 0.544502	valid_0's auc: 0.8322
[6]	valid_0's binary_logloss: 0.533405	valid_0's auc: 0.832868
[7]	valid_0's binary_logloss: 0.523972	valid_0's auc: 0.833496
[8]	valid_0's binary_logloss: 0.515914	valid_0's auc: 0.834141
[9]	valid_0's binary_logloss: 0.508985	valid_0's auc: 0.834655
[10]	valid_0's binary_logloss: 0.50296	valid_0's auc: 0.83563
[11]	valid_0's binary_logloss: 0.497811	valid_0's auc: 0.836074
[12]	valid_0's binary_logloss: 0.493339	valid_0's auc: 0.836591
[13]	valid_0's binary_logloss: 0.489541	valid_0's auc: 0.836866
[14]	valid_0's binary_logloss: 0.486225	valid_0's auc: 0.837117
[15]	valid_0's binary_logloss: 0.483261	valid_0's auc: 0.837548
[16]	valid_0's binary_logloss: 0.480713	valid_0's auc: 0.837851
[17]	valid_0's binary_logloss: 0.478459	valid_0's auc: 0.838128
[18]	valid_0's binary_logloss: 0.476497	valid_0's auc: 0.838392
[19]	valid_0's binary_logloss: 0.474779	valid_0's auc: 0.838606
[20]	valid_0's binary_logloss: 0.473255	valid_0's auc: 0.838847
[21]	valid_0's binary_logloss: 0.471932	valid_0's auc: 0.839043
[22]	valid_0's binary_logloss: 0.470769	valid_0's auc: 0.839223
[23]	valid_0's binary_logloss: 0.469745	valid_0's auc: 0.839357
[24]	valid_0's binary_logloss: 0.46885	valid_0's auc: 0.839499
[25]	valid_0's binary_logloss: 0.468064	valid_0's auc: 0.83963
[26]	valid_0's binary_logloss: 0.467323	valid_0's auc: 0.839791
[27]	valid_0's binary_logloss: 0.4667	valid_0's auc: 0.83989
[28]	valid_0's binary_logloss: 0.466163	valid_0's auc: 0.839987
[29]	valid_0's binary_logloss: 0.465645	valid_0's auc: 0.840112
[30]	valid_0's binary_logloss: 0.465212	valid_0's auc: 0.840203
[31]	valid_0's binary_logloss: 0.464796	valid_0's auc: 0.840313
[32]	valid_0's binary_logloss: 0.464454	valid_0's auc: 0.840388
[33]	valid_0's binary_logloss: 0.464111	valid_0's auc: 0.840506
[34]	valid_0's binary_logloss: 0.463829	valid_0's auc: 0.840575
[35]	valid_0's binary_logloss: 0.463581	valid_0's auc: 0.840637
[36]	valid_0's binary_logloss: 0.463342	valid_0's auc: 0.840712
[37]	valid_0's binary_logloss: 0.463129	valid_0's auc: 0.840774
[38]	valid_0's binary_logloss: 0.46294	valid_0's auc: 0.840831
[39]	valid_0's binary_logloss: 0.462747	valid_0's auc: 0.840913
[40]	valid_0's binary_logloss: 0.462596	valid_0's auc: 0.840957
[41]	valid_0's binary_logloss: 0.462457	valid_0's auc: 0.841002
[42]	valid_0's binary_logloss: 0.462339	valid_0's auc: 0.841039
[43]	valid_0's binary_logloss: 0.462228	valid_0's auc: 0.841073
[44]	valid_0's binary_logloss: 0.462124	valid_0's auc: 0.841113
[45]	valid_0's binary_logloss: 0.462036	valid_0's auc: 0.841139
[46]	valid_0's binary_logloss: 0.461944	valid_0's auc: 0.841175
[47]	valid_0's binary_logloss: 0.461866	valid_0's auc: 0.841203
[48]	valid_0's binary_logloss: 0.461793	valid_0's auc: 0.841232
[49]	valid_0's binary_logloss: 0.461726	valid_0's auc: 0.841262
[50]	valid_0's binary_logloss: 0.461659	valid_0's auc: 0.841294
[51]	valid_0's binary_logloss: 0.461604	valid_0's auc: 0.841312
[52]	valid_0's binary_logloss: 0.461527	valid_0's auc: 0.841357
[53]	valid_0's binary_logloss: 0.461481	valid_0's auc: 0.841376
[54]	valid_0's binary_logloss: 0.461444	valid_0's auc: 0.841388
[55]	valid_0's binary_logloss: 0.461402	valid_0's auc: 0.84141
[56]	valid_0's binary_logloss: 0.461355	valid_0's auc: 0.841434
[57]	valid_0's binary_logloss: 0.461308	valid_0's auc: 0.841461
[58]	valid_0's binary_logloss: 0.461277	valid_0's auc: 0.841476
[59]	valid_0's binary_logloss: 0.461248	valid_0's auc: 0.841491
[60]	valid_0's binary_logloss: 0.4612	valid_0's auc: 0.841521
[61]	valid_0's binary_logloss: 0.461167	valid_0's auc: 0.841541
[62]	valid_0's binary_logloss: 0.461141	valid_0's auc: 0.841554
[63]	valid_0's binary_logloss: 0.461117	valid_0's auc: 0.841567
[64]	valid_0's binary_logloss: 0.461089	valid_0's auc: 0.841583
[65]	valid_0's binary_logloss: 0.461065	valid_0's auc: 0.841596
[66]	valid_0's binary_logloss: 0.461046	valid_0's auc: 0.841607
[67]	valid_0's binary_logloss: 0.461018	valid_0's auc: 0.841624
[68]	valid_0's binary_logloss: 0.461005	valid_0's auc: 0.84163
[69]	valid_0's binary_logloss: 0.460986	valid_0's auc: 0.841641
[70]	valid_0's binary_logloss: 0.460966	valid_0's auc: 0.841652
[71]	valid_0's binary_logloss: 0.46095	valid_0's auc: 0.841662
[72]	valid_0's binary_logloss: 0.460933	valid_0's auc: 0.841673
[73]	valid_0's binary_logloss: 0.460914	valid_0's auc: 0.841683
[74]	valid_0's binary_logloss: 0.460904	valid_0's auc: 0.841688
