,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,7.56,8.51,9.82,12.1,16.66,20.91
gluon reweight,0.07,0.07,0.18,0.38,0.85,1.79
pdf weight,5.69,6.2,6.58,7.56,7.89,6.45
scale variation,4.94,5.31,4.7,5.4,6.8,7.84
matrix element,0.59,0.19,1.86,3.33,5.5,9.06
parton shower,18.52,18.39,20.57,20.13,22.24,27.82
hadronization,1.82,1.06,0.4,0.04,0.73,0.14
splitting kernel,9.37,6.92,6.29,6.22,4.99,7.48
statistical,0.11,0.1,0.22,0.47,0.96,2.62
tracking,0.89,0.84,0.87,0.84,0.72,0.43
JES/JER,0.35,0.43,0.26,0.26,0.49,0.58
Total Uncertainty,22.18,21.33,23.08,23.29,25.71,32.03
