,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,1.23,0.86,1.7,0.83,0.69,0.36
gluon reweight,0.5,0.5,0.33,0.14,0.0,0.21
pdf weight,9.38,10.23,11.98,12.51,12.36,10.07
scale variation,9.32,10.26,11.83,12.08,13.05,10.49
matrix element,5.33,6.06,5.63,5.43,5.47,4.33
parton shower,1.06,0.44,2.91,4.38,5.46,7.01
hadronization,7.27,6.43,6.0,5.6,3.82,4.27
splitting kernel,0.62,0.22,0.41,0.66,1.58,1.05
statistical,0.15,0.12,0.21,0.4,0.71,1.5
tracking,4.92,4.84,4.81,4.38,4.06,3.64
JES/JER,0.22,0.16,0.21,0.15,0.24,0.19
Total Uncertainty,16.8,17.66,19.57,20.06,20.42,17.73
