,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,0.88,1.29,1.91,3.61,5.67,7.49
gluon reweight,0.01,0.08,0.14,0.3,0.26,0.18
pdf weight,4.12,4.87,5.34,6.13,6.12,5.21
scale variation,1.27,1.4,1.08,1.06,0.95,1.33
matrix element,0.28,0.27,1.59,2.62,4.16,7.25
parton shower,9.58,10.6,11.92,12.79,11.44,13.86
hadronization,1.28,0.71,0.4,1.1,0.61,0.32
splitting kernel,2.31,0.34,0.33,0.97,0.61,0.88
statistical,0.08,0.08,0.17,0.39,0.8,2.34
tracking,1.49,1.65,1.77,1.62,1.54,1.23
JES/JER,0.25,0.13,0.13,0.12,0.32,0.3
Total Uncertainty,10.94,11.89,13.33,14.63,13.8,16.78
