,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,1.59,3.72,4.29,3.24,1.97,1.0
gluon reweight,0.19,0.15,0.06,0.04,0.04,0.02
pdf weight,9.4,10.56,12.46,13.08,12.81,10.51
scale variation,9.45,10.11,11.85,11.2,13.21,11.69
matrix element,5.24,5.97,5.62,5.39,5.24,4.45
parton shower,1.86,2.61,4.8,5.58,6.97,8.18
hadronization,8.52,6.82,5.82,5.34,4.32,4.04
splitting kernel,0.48,0.37,0.62,1.19,1.19,0.55
statistical,0.15,0.12,0.21,0.4,0.72,1.54
tracking,7.84,7.11,6.37,5.38,4.8,3.99
JES/JER,0.31,0.29,0.29,0.26,0.32,0.23
Total Uncertainty,18.52,18.8,20.62,20.39,21.41,19.2
